id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD000001,C02166,P014,25/09/2024,5,1951.97,en_cours,rbat,Carte,9,2024-09-26
CMD000002,C07353,P040,2024-02-06,5,2151.62,en_cours,CASABLANCA,Espèces,7,2024-02-08
CMD000003,C03922,P020,Aug 27 2024,4,1085.73,en_cours,tanger,Virement,13,2024-09-01
CMD000004,C08067,P046,2024-06-17,2,4829.97,en_cours,tanger,Espèces,10,2024-06-22
CMD000005,C10197,P008,May 06 2024,2,3028.17,retourné,casa,Espèces,12,2024-05-08
CMD000006,C05985,P046,07/02/2024,5,792.25,livré,TNG,Carte,19,2024-02-12
CMD000007,C05927,P048,2024-03-29,3,4697.41,DONE,RABAT,Espèces,6,2024-04-03
CMD000008,C07690,P008,2024-09-24,4,1757.17,en_cours,Agadir,Virement,2,2024-09-27
CMD000009,C00576,P022,2024-08-12,1,4751.24,en_cours,casa,Carte,17,2024-08-15
CMD000010,C00063,P005,2024-05-09,1,4256.73,OK,TANGER,Virement,15,2024-05-12
CMD000011,C04417,P002,19/02/2024,3,626.13,KO,Tnja,Espèces,4,2024-02-20
CMD000012,C03606,P010,Sep 12 2024,4,3164.77,KO,TANGER,Virement,10,2024-09-15
CMD000013,C02664,P010,2024-07-23,5,1318.98,DONE,TANGER,Espèces,1,2024-07-24
CMD000014,C08319,P001,Jan 01 2024,5,81.68,annulé,tanger,Carte,10,2024-01-02
CMD000015,C00622,P004,31/07/2024,1,1626.68,retourné,cbl,Virement,4,2024-08-04
CMD000016,C03039,P036,2024-06-17,4,3620.64,en_cours,casa,Carte,1,2024-06-22
CMD000017,C09967,P031,May 15 2024,4,234.33,DONE,TNG,Carte,,2024-05-16
CMD000018,C01876,P028,14/10/2024,5,2302.43,en_cours,rbat,Espèces,18,2024-10-15
CMD000019,C10233,P016,Aug 17 2024,1,3247.97,en_cours,RABAT,Espèces,6,2024-08-18
CMD000020,C02386,P006,08/02/2024,5,973.31,livré,Agadir,Virement,6,2024-02-11
CMD000021,C01928,P004,2024-06-13,5,2845.03,retourné,RABAT,Virement,16,2024-06-17
CMD000022,C08552,P009,21/01/2024,2,2043.81,en_cours,rbat,Virement,1,2024-01-24
CMD000023,C04957,P017,2024-10-20,1,1742.46,livré,tanger,Espèces,14,2024-10-21
CMD000024,C02080,P011,21/11/2024,1,3634.67,DONE,CASABLANCA,Virement,17,2024-11-26
CMD000025,C10231,P020,2024-04-28,3,3756.46,livré,CASABLANCA,Carte,10,2024-04-29
CMD000026,C06510,P050,29/10/2024,3,3781.36,livré,rbat,Virement,12,2024-10-30
CMD000027,C06028,P040,Jun 23 2024,1,3826.65,OK,TNG,Virement,,2024-06-26
CMD000028,C02237,P016,2024-07-02,1,4217.78,retourné,tanger,Virement,7,2024-07-06
CMD000029,C06327,P010,2024-01-05,3,693.4,retourné,CASABLANCA,Espèces,7,2024-01-10
CMD000030,C08149,P027,2024-07-26,4,2560.66,livré,tanger,Virement,8,2024-07-27
CMD000031,C04154,P005,Feb 22 2024,5,2713.17,en_cours,rbat,Carte,11,2024-02-27
CMD000032,C07181,P028,16/11/2024,5,2587.24,livré,RABAT,Carte,6,2024-11-17
CMD000033,C07791,P009,28/04/2024,4,918.25,annulé,CASABLANCA,Carte,12,2024-05-02
CMD000034,C04471,P048,2024-05-20,3,315.43,DONE,TANGER,Carte,18,2024-05-23
CMD000035,C06105,P007,2024-02-14,4,433.06,livré,cbl,Virement,1,2024-02-17
CMD000036,C06696,P040,30/10/2024,3,4307.22,livré,TANGER,Espèces,1,2024-11-02
CMD000037,C07706,P016,2024-08-22,3,3670.48,DONE,Tnja,Virement,1,2024-08-27
CMD000038,C04301,P032,27/05/2024,2,4215.04,retourné,tanger,Virement,2,2024-05-29
CMD000039,C09104,P011,Mar 07 2024,4,703.29,KO,casa,Espèces,15,2024-03-09
CMD000040,C08209,P008,25/05/2024,5,1688.91,en_cours,TANGER,Carte,17,2024-05-30
CMD000041,C04651,P041,09/06/2024,1,2865.81,livré,TANGER,Carte,3,2024-06-11
CMD000042,C03872,P042,2024-11-12,3,555.57,DONE,TNG,Carte,3,2024-11-15
CMD000043,C03820,P018,Oct 10 2024,1,3449.76,retourné,TANGER,Espèces,14,2024-10-11
CMD000044,C04810,P050,2024-01-23,1,966.78,OK,TNG,Carte,6,2024-01-25
CMD000045,C01905,P014,May 06 2024,1,2490.05,en_cours,cbl,Virement,18,2024-05-11
CMD000046,C00802,P043,2024-07-11,3,4096.2,DONE,cbl,Carte,14,2024-07-16
CMD000047,C08234,P036,10/08/2024,2,2264.93,retourné,tanger,Espèces,9,2024-08-15
CMD000048,C08222,P036,2024-11-03,5,4998.4,en_cours,TNG,Carte,15,2024-11-04
CMD000049,C04442,P029,2024-09-02,3,1151.62,livré,CASABLANCA,Virement,15,2024-09-04
CMD000050,C04832,P016,20/04/2024,1,2485.27,livré,Tnja,Virement,20,2024-04-25
CMD000051,C07607,P023,04/07/2024,1,3615.29,en_cours,rbat,Virement,,2024-07-09
CMD000052,C08745,P013,2024-04-22,5,119.63,livré,TNG,Carte,8,2024-04-26
CMD000053,C00884,P044,12/07/2024,4,1696.86,retourné,rbat,Virement,18,2024-07-13
CMD000054,C02323,P038,2024-06-30,5,2575.6,annulé,TANGER,Virement,3,2024-07-03
CMD000055,C01211,P020,21/02/2024,3,951.42,livré,rbat,Carte,16,2024-02-24
